date,Site,Half,Plot1,Plot2,Plot3,Plot4,Plot5
5/25/2016,Water Tower,N,17.3,27.7,21.9,14.7,15
6/2/2016,Water Tower,N,9.7,15.7,5.4,7.2,9.4
6/9/2016,Water Tower,N,5.9,4.8,6.4,10.6,5.4
6/24/2016,Water Tower,N,10.3,7.4,2.9,7,6.3
6/28/2016,Water Tower,N,4.7,5.1,0.9,4.5,0
7/7/2016,Water Tower,N,0,1.5,0,0.5,0.1
7/21/2016,Water Tower,N,19.4,14.9,14.2,9.9,17.7
8/10/2016,Water Tower,N,11.9,11,9.8,4.8,9.7
5/19/2016,Water Tower,S,29.4,26,31,36.3,27
5/25/2016,Water Tower,S,15.5,13,22.4,22,10.4
6/2/2016,Water Tower,S,9.1,5.2,13.4,5.2,4.1
6/9/2016,Water Tower,S,14.5,13.8,10.9,5.2,9.8
6/24/2016,Water Tower,S,6.9,3.8,5.1,10.4,3.4
6/28/2016,Water Tower,S,0.7,0.4,0.9,0,2.7
7/7/2016,Water Tower,S,0.8,3.8,7,0,0.2
7/21/2016,Water Tower,S,16.5,16.8,16.1,16.6,15.9
8/10/2016,Water Tower,S,4.8,4.9,7.8,6.6,5.3
5/19/2016,Wetland,N,20.5,22.5,18.2,19.8,15.7
5/25/2016,Wetland,N,14.4,15.4,14.1,10.3,9.6
6/2/2016,Wetland,N,10.7,10.4,10.2,9,11.1
6/9/2016,Wetland,N,21.3,14,9.5,7.3,9.3
6/24/2016,Wetland,N,15.6,9.8,10.3,9.7,9.8
6/28/2016,Wetland,N,7.8,6.6,1.5,6.9,3.3
7/7/2016,Wetland,N,2.5,4.8,4,4.6,3.3
7/21/2016,Wetland,N,12.8,16.8,14.7,16.8,17.8
8/10/2016,Wetland,N,9.5,13.5,9.9,6,6.8
5/19/2016,Wetland,S,25.6,21.5,17.4,16.5,14.8
5/25/2016,Wetland,S,11.6,10.3,4.7,9.4,7.6
6/2/2016,Wetland,S,12.2,13.4,11,12.3,13.5
6/9/2016,Wetland,S,8.5,12.3,12.2,9.1,6.2
6/24/2016,Wetland,S,7.9,8.5,4.1,5.7,2.1
6/28/2016,Wetland,S,1.5,2,4.2,3.7,0
7/7/2016,Wetland,S,0,0.7,0,0,0
7/21/2016,Wetland,S,14.6,11.8,15.1,13.5,10.7
8/10/2016,Wetland,S,3.2,8.1,6.3,4.8,5.3
