"","Site","Plot","richness","area","source.diversity.trt","species.richness.trt"
"55","Field Lab","Plot3",6,1,"Local","High"
"56","Field Lab","Plot3",3,1,"Local","Low"
"57","No Till","Plot3",9,1,"Southern","High"
"58","No Till","Plot3",8,1,"Southern","Low"
"59","Pothole","Plot3",14,1,"High","High"
"60","Pothole","Plot3",5,1,"High","Low"
"61","Reed Canary","Plot3",12,1,"High","High"
"62","Reed Canary","Plot3",12,1,"High","Low"
"63","Soil Pit","Plot3",12,1,"Midwest","High"
"64","Soil Pit","Plot3",10,1,"Midwest","Low"
"65","Spruce Lodge","Plot3",5,1,"High","Low"
"66","Spruce Lodge","Plot3",6,1,"High","High"
"67","Succession","Plot3",13,1,"Local","High"
"68","Succession","Plot3",13,1,"Local","Low"
"69","Water Tower","Plot3",11,1,"High","Low"
"70","Water Tower","Plot3",10,1,"High","High"
"71","Wetland","Plot3",4,1,"High","High"
"72","Wetland","Plot3",8,1,"High","Low"
"73","Barn N","Plot4",7,1,"Southern","Low"
"74","Barn N","Plot4",3,1,"Southern","High"
"75","Barn South","Plot4",5,1,"High","Low"
"76","Barn South","Plot4",3,1,"High","High"
"77","Duck Lake","Plot4",9,1,"Midwest","High"
"78","Duck Lake","Plot4",2,1,"Midwest","Low"
"79","Field Lab","Plot4",5,1,"Local","High"
"80","Field Lab","Plot4",6,1,"Local","Low"
"81","No Till","Plot4",8,1,"Southern","High"
"82","No Till","Plot4",8,1,"Southern","Low"
"83","Pothole","Plot4",15,1,"High","High"
"84","Pothole","Plot4",2,1,"High","Low"
"85","Reed Canary","Plot4",12,1,"High","High"
"86","Reed Canary","Plot4",9,1,"High","Low"
"87","Soil Pit","Plot4",8,1,"Midwest","High"
"88","Soil Pit","Plot4",14,1,"Midwest","Low"
"89","Spruce Lodge","Plot4",6,1,"High","Low"
"90","Spruce Lodge","Plot4",9,1,"High","High"
"91","Succession","Plot4",10,1,"Local","High"
"92","Succession","Plot4",9,1,"Local","Low"
"93","Water Tower","Plot4",8,1,"High","Low"
"94","Water Tower","Plot4",5,1,"High","High"
"95","Wetland","Plot4",2,1,"High","High"
"96","Wetland","Plot4",11,1,"High","Low"
"97","Barn N","Plot5",4,1,"Southern","Low"
"98","Barn N","Plot5",3,1,"Southern","High"
"99","Barn South","Plot5",2,1,"High","Low"
"100","Barn South","Plot5",2,1,"High","High"
"101","Duck Lake","Plot5",12,1,"Midwest","High"
"102","Duck Lake","Plot5",10,1,"Midwest","Low"
"103","Field Lab","Plot5",7,1,"Local","High"
"104","Field Lab","Plot5",4,1,"Local","Low"
"105","No Till","Plot5",9,1,"Southern","High"
"106","No Till","Plot5",6,1,"Southern","Low"
"107","Pothole","Plot5",13,1,"High","High"
"108","Pothole","Plot5",8,1,"High","Low"
"109","Reed Canary","Plot5",10,1,"High","High"
"110","Reed Canary","Plot5",7,1,"High","Low"
"111","Soil Pit","Plot5",9,1,"Midwest","High"
"112","Soil Pit","Plot5",7,1,"Midwest","Low"
"113","Spruce Lodge","Plot5",6,1,"High","Low"
"114","Spruce Lodge","Plot5",7,1,"High","High"
"115","Succession","Plot5",10,1,"Local","High"
"116","Succession","Plot5",9,1,"Local","Low"
"117","Water Tower","Plot5",13,1,"High","Low"
"118","Water Tower","Plot5",8,1,"High","High"
"119","Wetland","Plot5",3,1,"High","High"
"120","Wetland","Plot5",8,1,"High","Low"
"121","Barn N","Plot1",8,5,"Southern","Low"
"122","Barn N","Plot1",9,5,"Southern","High"
"123","Barn South","Plot1",12,5,"High","Low"
"124","Barn South","Plot1",11,5,"High","High"
"125","Duck Lake","Plot1",20,5,"Midwest","High"
"126","Duck Lake","Plot1",29,5,"Midwest","Low"
"127","Field Lab","Plot1",16,5,"Local","High"
